,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,rand,action, shares , value ,,bin,buy,hold,sell,,
44,4/21/2021 0:00,56361.355,56723.585,56746.33,56340.935,0,reg,FALSE,BTCUSD,buy,-0.334901814,-0.687478563,-0.866059889,-0.656545821,1,0.555734912,buy, 0.00177 , $-   ,,45,29%,47%,24%,,
45,4/21/2021 0:05,56723.585,56499.03,56777.08,56231.27,0,reg,FALSE,BTCUSD,sell,1.839133406,1.252244288,1.117280363,1.142403986,81,0.800077108,sell, -   , $100.21 ,,46,0%,67%,33%,,
46,4/21/2021 0:10,56363.485,56876.1,56957.87,56342.385,0,reg,FALSE,BTCUSD,buy,-1.839999778,-2.119180712,-1.941940797,-1.762111386,1,0.288004208,buy, 0.00178 , $-   ,,47,,,,,
47,4/21/2021 0:15,56879.965,56659.83,56959.245,56454.8,0,reg,FALSE,BTCUSD,sell,2.615090219,2.566131841,2.698740033,2.673032161,81,0.620321358,sell, -   , $101.12 ,,48,,,,,
48,4/21/2021 0:20,56799.07,56768.095,56989.1,56508.82,0,reg,FALSE,BTCUSD,buy,-0.410178546,-1.742554807,-2.481803506,-2.983993075,1,0.876650009,hold, -   , $101.12 ,,49,19%,38%,44%,,
49,4/21/2021 0:25,56908.115,56710.18,56944,56498.37,0,reg,FALSE,BTCUSD,sell,0.551853809,0.554130637,1.322890817,2.191503932,81,0.702327134,sell, -   , $101.12 ,,50,15%,62%,23%,,
50,4/21/2021 0:30,56710.18,56444.42,56869.2,56282.59,0,reg,FALSE,BTCUSD,hold,-1.00520365,-0.896865095,-0.835773541,-1.243390669,1,0.151838838,buy, 0.00178 , $-   ,,51,,,,,
51,4/21/2021 0:35,56444.42,56456.26,56666.975,56151.29,0,reg,FALSE,BTCUSD,buy,-1.356004368,-0.202061214,0.400207036,0.711924813,9,0.529226351,buy, 0.00178 , $-   ,,52,0%,50%,50%,,
52,4/21/2021 0:40,56456.26,56180.17,56462.03,56050.115,0,reg,FALSE,BTCUSD,sell,0.060399325,0.815848526,0.58631601,0.107198768,53,0.544704124,hold, 0.00178 , $-   ,,53,42%,46%,13%,,
53,4/21/2021 0:45,56180.17,56018.37,56413.765,55864.755,0,reg,FALSE,BTCUSD,hold,-1.415337833,-0.850024604,-0.959542924,-0.890414746,1,0.243550808,buy, 0.00178 , $-   ,,54,25%,44%,31%,,
54,4/21/2021 0:50,55890.41,55763.92,56181.915,55532.95421,0,reg,FALSE,BTCUSD,hold,-1.493116262,-0.044800375,0.463809156,0.819850799,18,0.676810515,hold, 0.00178 , $-   ,,55,0%,30%,70%,,
55,4/21/2021 0:55,55763.92,55705.585,56126.17,55481.945,0,reg,FALSE,BTCUSD,hold,-0.653274016,0.483749133,0.304444517,-0.091794032,26,0.746300618,hold, 0.00178 , $-   ,,56,0%,33%,67%,,
56,4/21/2021 1:00,55705.585,55634.875,55929.74,55392.87,0,reg,FALSE,BTCUSD,hold,-0.301594176,0.202567588,-0.16196057,-0.26864933,22,0.15404669,hold, 0.00178 , $-   ,,57,0%,0%,100%,,
57,4/21/2021 1:05,55634.875,55666.14,55845.77,55263.4,0,reg,FALSE,BTCUSD,buy,-0.366038029,-0.037119659,-0.138059854,0.013766813,14,0.933794254,hold, 0.00178 , $-   ,,58,,,,,
