,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,shares, value ,action,shares, value ,action,shares, value ,action,shares, value 
991,2021-04-16T09:05:00Z,0.260443,0.26857,0.272285,0.258192,0,reg,FALSE,DOGEUSD,buy,315848.3044, $-   ,hold,0, $116.46 ,hold,578.0951233, $-   ,buy,1393.301009, $-   
992,2021-04-16T09:10:00Z,0.26857,0.274949,0.277408,0.261585,0,reg,FALSE,DOGEUSD,hold,315848.3044, $-   ,hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
993,2021-04-16T09:15:00Z,0.274949,0.279573,0.282226,0.269986,0,reg,FALSE,DOGEUSD,hold,315848.3044, $-   ,hold,0, $116.46 ,sell,0, $158.95 ,hold,1393.301009, $-   
994,2021-04-16T09:20:00Z,0.279573,0.271769,0.281342,0.268909,0,reg,FALSE,DOGEUSD,sell,0," $88,302.66 ",hold,0, $116.46 ,hold,0, $158.95 ,hold,1393.301009, $-   
995,2021-04-16T09:25:00Z,0.271769,0.26496,0.272131,0.262129,0,reg,FALSE,DOGEUSD,hold,0," $88,302.66 ",hold,0, $116.46 ,hold,0, $158.95 ,buy,1393.301009, $-   
996,2021-04-16T09:30:00Z,0.26496,0.261475,0.270535,0.259716,0,reg,FALSE,DOGEUSD,hold,0," $88,302.66 ",hold,0, $116.46 ,buy,599.8893269, $-   ,buy,1393.301009, $-   
997,2021-04-16T09:35:00Z,0.261475,0.260044,0.265283,0.255537,0,reg,FALSE,DOGEUSD,hold,0," $88,302.66 ",hold,0, $116.46 ,buy,599.8893269, $-   ,buy,1393.301009, $-   
998,2021-04-16T09:40:00Z,0.260044,0.266604,0.267946,0.258755,0,reg,FALSE,DOGEUSD,buy,339568.1423, $-   ,buy,447.8592937, $-   ,hold,599.8893269, $-   ,buy,1393.301009, $-   
999,2021-04-16T09:45:00Z,0.265424,0.269366,0.271705,0.264678,0,reg,FALSE,DOGEUSD,hold,339568.1423, $-   ,hold,447.8592937, $-   ,hold,599.8893269, $-   ,hold,1393.301009, $-   
1000,2021-04-16T09:50:00Z,0.269366,0.266641,0.271438,0.262301,0,reg,FALSE,DOGEUSD,sell,0," $91,468.11 ",hold,447.8592937, $-   ,sell,0, $161.59 ,hold,1393.301009, $-   
1001,2021-04-16T09:55:00Z,0.265487,0.263189,0.268845,0.260803,0,reg,FALSE,DOGEUSD,hold,0," $91,468.11 ",hold,447.8592937, $-   ,hold,0, $161.59 ,buy,1393.301009, $-   
1002,2021-04-16T10:00:00Z,0.263189,0.265629,0.26726,0.257264,0,reg,FALSE,DOGEUSD,buy,347537.7475, $-   ,hold,447.8592937, $-   ,buy,613.968625, $-   ,buy,1393.301009, $-   
1003,2021-04-16T10:05:00Z,0.265629,0.268164,0.270677,0.262042,0,reg,FALSE,DOGEUSD,hold,347537.7475, $-   ,hold,447.8592937, $-   ,hold,613.968625, $-   ,hold,1393.301009, $-   
