,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,buy,hold,sell,,bin,buy,hold,sell,buy,hold,sell,,bin,buy,hold,sell,buy,hold,sell,buy,hold,sell,buy,hold,sell
935,4/18/2021 2:25,55654.91,58986.945,59284.94934,58707.77173,0,reg,FALSE,BTCUSD,hold,-0.32259364,-0.323931742,-0.204179781,-0.089080184,2,,2,,,,,,,,,,,,,,,,,,,,,,,
936,4/18/2021 2:30,55416.655,58975.375,59328.645,58759.07,0,reg,FALSE,BTCUSD,hold,-1.238209705,-0.527394854,-0.117194753,0.050103376,5,,5,,,,,,,,,,,,,,,,,,,,,,,
937,4/18/2021 2:35,55137.285,59052.13,59333.895,58896.425,0,reg,FALSE,BTCUSD,buy,-1.45924051,-0.127313744,0.23044672,0.200241488,18,18,,,,,,,,,,,,,,,,,,,,,,,,
938,4/18/2021 2:40,55331.165,58910.835,59176.415,58539.9297,0,reg,FALSE,BTCUSD,sell,1.009149908,1.421792882,0.892285417,0.38121909,81,,,81,,,,,,,,,,,,,,,,,,,,,,
939,4/18/2021 2:45,55115.05,58811.3,59369.1,58612.205,0,reg,FALSE,BTCUSD,buy,-1.129294447,-1.231743947,-1.528437212,-1.394336233,1,1,,,,,,,,,,,,,,,,,,,,,,,,
940,4/18/2021 2:50,55401.125,58833.94,59143.355,58510.12,0,reg,FALSE,BTCUSD,sell,1.487146697,1.507070101,1.577556893,1.789052606,81,,,81,,,,,,,,,,,,,,,,,,,,,,
941,4/18/2021 2:55,55269.37,58683.83,59158.73,58510.26,0,reg,FALSE,BTCUSD,hold,-0.686554595,-1.252051943,-1.589254295,-1.824083242,1,,1,,,,,,,,,,,,,,,,,,,,,,,
942,4/18/2021 3:00,55161.655,58731.57,59219.24,58647.15394,0,reg,FALSE,BTCUSD,buy,-0.562381967,0.071523434,0.762379418,1.35454102,18,18,,,,,,,,,,,,,,,,,,,,,,,,
943,4/18/2021 3:05,55448.14,58721.865,59000.31,58325.96073,0,reg,FALSE,BTCUSD,sell,1.488015289,1.181028821,0.639075103,-0.071023285,80,,,80,,,,,,,,,,,,,,,,,,,,,,
944,4/18/2021 3:10,55022.605,58572.585,58800.395,58143.01351,0,reg,FALSE,BTCUSD,buy,-2.22734056,-2.140044967,-1.912938499,-1.469959833,1,1,,,,,,,,,,,,,,,,,,,,,,,,
945,4/18/2021 3:15,55294.995,58504.105,58683.17,57569.93801,0,reg,FALSE,BTCUSD,hold,1.418723703,2.100133018,2.442342521,2.50864187,81,,81,,,,,,,,,,,,,,,,,,,,,,,
946,4/18/2021 3:20,55490.95,57869.19,58086.18,54412.63,0,reg,FALSE,BTCUSD,sell,1.017013404,-0.231385132,-1.342954453,-2.180331055,55,,,55,,,,,,,,,,,,,,,,,,,,,,
947,4/18/2021 3:25,55187.54,56091.95,57100.815,55486.025,0,reg,FALSE,BTCUSD,buy,-1.583366102,-1.497818597,-0.729465676,0.353369536,3,3,,,,,,,,,,,,,,,,,,,,,,,,
948,4/18/2021 3:30,55192.625,56567.04,56983.855,52107.86,0,reg,FALSE,BTCUSD,sell,0.02653398,0.927302446,1.396869719,1.224769186,54,,,54,,,,,,,,,,,,,,,,,,,,,,
949,4/18/2021 3:35,55021.5,52489.48,54226.255,49269.465,0,reg,FALSE,BTCUSD,buy,-0.895722582,-0.53121978,-0.840108803,-1.28849963,1,1,,,,,,,,,,,,,,,,,,,,,,,,
950,4/18/2021 3:40,55251.05,53548.235,56066.58,51403.025,0,reg,FALSE,BTCUSD,sell,1.196545585,1.205146463,1.000146955,1.059987315,81,,,81,,,,,,,,,,,,,,,,,,,,,,
951,4/18/2021 3:45,55002,53858.615,54264.995,51128.645,0,reg,FALSE,BTCUSD,hold,-1.304068944,-1.44035397,-1.523808251,-1.4537982,1,,1,,,,,,,,,,,,,,,,,,,,,,,
952,4/18/2021 3:50,54909.605,52293.455,54393.88,51200.285,0,reg,FALSE,BTCUSD,buy,-0.484610298,0.472008181,1.1015206,1.512189419,27,27,,,,,,,,,,,,,,,,,,,,,,,,
953,4/18/2021 3:55,54943.055,54191.98,56894.475,52970.91,0,reg,FALSE,BTCUSD,sell,0.175337902,0.380130163,-0.052921738,-0.664958786,49,,,49,,,,,,,,,,,,,,,,,,,,,,
954,4/18/2021 4:00,54848.015,55403.155,57654.9,52664.39589,0,reg,FALSE,BTCUSD,buy,-0.499043038,-0.388443422,-0.442698385,-0.224511349,1,1,,,,,,,,,,,,,,,,,,,,,,,,
955,4/18/2021 4:05,54876.405,53965.695,56716.895,52690.06512,0,reg,FALSE,BTCUSD,sell,0.148995183,0.373270015,0.438746939,0.507712506,54,,,54,,,,,,,,,,,,,,,,,,,,,,
956,4/18/2021 4:10,54716.655,54772.475,56887.26,53979.77,0,reg,FALSE,BTCUSD,buy,-0.840840875,-0.57014557,-0.543407377,-0.565720886,1,1,,,,,,,,,,,,,,,,,,,,,,,,
957,4/18/2021 4:15,54866.97,54786.14,57190.41,53915.05723,0,reg,FALSE,BTCUSD,hold,0.789012405,0.938795488,0.869150048,0.813633076,81,,81,,,,,,,,,,,,,,,,,,,,,,,
